audit,channel,test_split,test_index,memory_pool_size,max_instruction_similarity,nearest_instruction_memory_index,min_plan_edit_distance,nearest_edit_memory_index,max_plan_trigram_jaccard,nearest_ngram_memory_index,full_signature_overlap,published_routed_skill
strict_split,episode_heldout,test,71,801,0.9999997615814209,2317,0,285,1.0,285,True,
strict_split,episode_heldout,test,138,801,1.0,178,0,2215,1.0,2215,True,
strict_split,episode_heldout,test,197,801,0.9999998807907104,2941,0,1202,1.0,1202,True,
strict_split,episode_heldout,test,209,801,0.9999998807907104,136,0,166,1.0,166,True,
strict_split,episode_heldout,test,318,801,0.9999999403953552,285,0,579,1.0,579,True,
strict_split,episode_heldout,test,329,801,0.9999997615814209,2092,0,550,1.0,550,True,
strict_split,episode_heldout,test,397,801,1.0,2554,0,2217,1.0,2217,True,
strict_split,episode_heldout,test,440,801,0.9999999403953552,2350,0,154,1.0,154,True,
strict_split,episode_heldout,test,475,801,0.9999997615814209,467,0,1196,1.0,1196,True,
strict_split,episode_heldout,test,502,801,0.9999997615814209,791,0,565,1.0,565,True,
strict_split,episode_heldout,test,512,801,1.0,3076,0,872,1.0,872,True,
strict_split,episode_heldout,test,602,801,0.9999999403953552,733,0,471,1.0,471,True,
strict_split,episode_heldout,test,657,801,0.9999998807907104,3328,0,2311,1.0,2311,True,
strict_split,episode_heldout,test,726,801,0.9999998807907104,968,0,1330,1.0,1330,True,
strict_split,episode_heldout,test,737,801,0.9999997615814209,687,0,168,1.0,168,True,
strict_split,episode_heldout,test,849,801,1.0,1275,0,1036,1.0,1036,True,
strict_split,episode_heldout,test,869,801,0.9999998807907104,114,0,1007,1.0,1007,True,
strict_split,episode_heldout,test,903,801,0.9999997615814209,237,0,840,1.0,840,True,
strict_split,episode_heldout,test,910,801,0.9999998211860657,4039,0,114,1.0,114,True,
strict_split,episode_heldout,test,984,801,0.9999998807907104,1244,0,735,1.0,735,True,
strict_split,episode_heldout,test,1020,801,1.0,1330,0,237,1.0,237,True,
strict_split,episode_heldout,test,1053,801,0.9999998211860657,59,0,166,1.0,166,True,
strict_split,episode_heldout,test,1067,801,0.9999998211860657,2103,0,2104,1.0,2104,True,
strict_split,episode_heldout,test,1082,801,0.9999997615814209,2317,0,579,1.0,579,True,
strict_split,episode_heldout,test,1307,801,1.0,3180,0,166,1.0,166,True,
strict_split,episode_heldout,test,1342,801,0.9999997615814209,791,0,565,1.0,565,True,
strict_split,episode_heldout,test,1444,801,0.9999998807907104,3319,0,168,1.0,168,True,
strict_split,episode_heldout,test,1447,801,0.9999998807907104,2286,0,3968,1.0,3968,True,
strict_split,episode_heldout,test,1510,801,1.0,4420,0,149,1.0,149,True,
strict_split,episode_heldout,test,1554,801,0.9999998807907104,2095,0,178,1.0,178,True,
strict_split,episode_heldout,test,1570,801,0.9999998807907104,2081,0,559,1.0,559,True,
strict_split,episode_heldout,test,1578,801,0.9999997615814209,2311,0,114,1.0,114,True,
strict_split,episode_heldout,test,1594,801,1.0,699,0,1955,1.0,1955,True,
strict_split,episode_heldout,test,1677,801,0.9999997615814209,650,0,237,1.0,237,True,
strict_split,episode_heldout,test,1693,801,0.9999997615814209,791,0,809,1.0,809,True,
strict_split,episode_heldout,test,1736,801,0.9999997615814209,2028,0,237,1.0,237,True,
strict_split,episode_heldout,test,1751,801,0.9999998211860657,3124,0,731,1.0,731,True,
